策略類型,策略名稱,核心邏輯,關鍵技術指標,策略詳細說明與量化實作細節
機構訂單流,聰明錢概念 (SMC / Smart Money Concepts),假設散戶多數是錯的，策略旨在跟隨「機構大資金」的真實意圖，尋找流動性獵取與市場失衡區。,公平價值缺口 (FVG)、訂單塊 (Order Block)、流動性池 (Liquidity),"說明： 不看傳統指標，只看裸K。當市場出現極大實體 K 線導致價格跳空（形成 FVG）時，視為機構發力。價格日後回測填補這個缺口時，就是極佳的進場點。

實作： 程式化需定義 FVG（例如連續三根 K 線中，第一根的高點與第三根的低點沒有重疊）。當價格重新進入此無重疊區間時觸發委託單，盈虧比通常極高。"
日內突破,開盤區間突破 (ORB / Opening Range Breakout),開盤初期的波動通常奠定全日方向。突破開盤一段時間內的整理區間，即視為當日主趨勢。,時間區間 (Time Session)、區間最高 / 最低價,"說明： 鎖定特定市場（如美股或特定時區的交投熱絡期）開盤後的前 15 分鐘或 30 分鐘。畫出這段時間的最高點與最低點，向上突破做多，向下跌破做空。

實作： 邏輯極度清晰，寫成自動化腳本非常容易。只需設定定時器抓取開盤 N 分鐘的 High 和 Low 作為觸發條件，並嚴格設定當日收盤前平倉（不過夜）。"
量化統計,資金費率套利 (Funding Rate Arbitrage),利用永續合約為了錨定現貨價格而產生的「資金費率」機制，進行低風險的跨市場套利。,永續合約資金費率 (Funding Rate)、現貨價格,"說明： 在大牛市中，做多情緒高漲，多單必須支付利息（資金費率）給空單。此時可以「買入現貨」同時「做空等值的永續合約」（Delta 中性，無視漲跌），穩穩賺取資金費率。

實作： 100% 依賴 API 程式化執行。程式需即時監控各大交易所（如 Binance）的資金費率，當費率飆高時自動同時下達現貨買單與合約空單，屬量化團隊必備策略。"
另類數據,市場情緒分析 (Sentiment Analysis),價格反映的是市場情緒的總和。當市場極度恐慌時買入，極度貪婪時賣出。,恐懼與貪婪指數、社交媒體情緒分數、新聞 NLP 分析,"說明： 跳脫價格數據，轉向分析文字或大眾行為。例如追蹤推特上討論 BTC 或 ETH 的熱度與正負面情緒，作為領先指標。

實作： 這是目前結合 AI 最熱門的領域。可透過串接 LLM（如 Gemini 或 OpenAI API）即時分析新聞標題與社群貼文，輸出一個 -1 到 1 的情緒分數，分數達標即由程式自動發出交易訊號。"
造市策略,網格交易與造市商 (Grid / Market Making),假設市場多數時間處於無方向的盤整震盪。透過密集掛單提供流動性，不斷低買高賣賺取微小價差。,網格天地單區間、價格間距 (Grid Step),
型態學 / 極端反轉,島型反轉 (Island Reversal),行情在跳空後盤整（形成孤島），隨後又以「反向跳空」的方式脫離盤整區。代表原本順勢的籌碼被瞬間全數套牢（頂部）或軋空（底部）。,跳空缺口 (Price Gaps)、成交量 (Volume),
價格行為 / 動能,竭盡缺口回補 (Exhaustion Gap Fade),趨勢末段出現的跳空缺口往往是最後的瘋狂（竭盡），當缺口被反向填補時，代表動能耗盡，趨勢即將反轉。,缺口 (Gaps)、RSI (判斷超買超賣)、ATR,
趨勢 / 綜合指標,一目均衡表 (Ichimoku Cloud),透過五條線與「雲層」的相對位置，一眼判斷市場的趨勢方向、動能強弱以及未來的支撐/壓力區。,轉換線、基準線、先行跨距 (雲層)、遲行線,"說明： 這是一套自成一體的交易系統。當價格位於「雲層」之上為多頭；當「轉換線」向上交叉「基準線」且價格突破雲層時，是極強的順勢買入訊號。

實作： 非常適合寫成自動化趨勢機器人。因為它的數學定義極度明確（皆為特定週期的最高價與最低價平均），在 Python 或回測框架中計算資源消耗低，且能有效過濾盤整期的雜訊。"
價格行為 / 週期,威科夫操盤法 (Wyckoff Method),市場價格由「主力資金」推動，分為四個階段：吸籌 (Accumulation)、拉升、派發 (Distribution)、下跌。,價格行為 (Price Action)、成交量 (Volume)、支撐與壓力,"說明： 核心在於尋找主力在底部默默買入的「吸籌區」。當價格在區間底部出現「彈簧效應」(Spring，假跌破破底翻) 且伴隨成交量放大時，是最佳的跟車買點。
在新視窗中開啟Shutterstock
探索





實作： 邏輯較為複雜，純依靠價格與成交量。在量化實作上，常會結合「成交量分佈圖 (Volume Profile)」找出籌碼密集區（POC），當價格跌破該區又迅速站回時觸發進場。"
動能 / 反轉,指標背離策略 (Divergence Trading),當價格創出新高（或新低），但動能指標卻沒有同步創高（或創低），代表原有趨勢的力量正在衰竭，即將反轉。,RSI、MACD、隨機指標 (KD),"說明： 分為頂背離與底背離。例如價格跌破前低，但 RSI 指標的低點卻比前一次高（底背離），顯示殺跌動能減弱，是左側建倉的買點。
在新視窗中開啟Shutterstock
探索





實作： 這是程式交易中最常見的逆勢/左側策略之一。需要利用滾動視窗 (Rolling Window) 找出價格的局部極值與指標的局部極值進行比對，通常會搭配均線作為濾網，避免在強勢單邊行情中太早摸底。"
支撐壓力 / 比例,斐波那契回撤 (Fibonacci Retracement),認為市場情緒的波動符合自然界的黃金比例。在上漲趨勢的回檔中，價格往往會在特定的黃金分割率位置找到強烈支撐。,"斐波那契數列比例 (0.382, 0.5, 0.618)","說明： 找出一段明顯的波段高點與低點。當價格回調至 0.618 或 0.5 的位置時，通常會有買盤湧入。這也是許多交易員預掛限價單的熱門點位。
在新視窗中開啟Shutterstock





實作： 演算法會自動偵測波段的極大值與極小值（如使用 ZigZag 指標計算），算出 0.618 的絕對價格後，自動在該價位附近掛出限價買單 (Limit Order)，並將停損設在 0.786 之下。"
型態學 / 幾何,諧波型態 (Harmonic Patterns),結合了幾何圖形（如 M/W 型）與嚴格的斐波那契比例，尋找極高勝率的「潛在反轉區」(PRZ)。,蝙蝠 (Bat)、加特利 (Gartley)、蝴蝶 (Butterfly) 等特定比例組合,"說明： 比傳統 W 底或 M 頭更嚴格。例如 Gartley 型態要求 B 點必須精準回調至 XA 段的 0.618，D 點（進場點）必須在 XA 段的 0.786。符合嚴格比例的型態，反轉成功率極高。

實作： 因為條件是由死板的數學比例組成，非常適合交由程式來掃描判斷。雖然程式碼邏輯（一堆 if-else 和比例容錯率設定）寫起來較繁瑣，但目前市面上有許多現成的 Python 套件可以輔助辨識。"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
https://gemini.google.com/share/c1f1d6b501df,,,,
